web,filename
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=7759,assoc1109.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=13478,assoc1110.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=7770,assoc1111.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=13764,assoc1112.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=9147,assoc1113.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=10767,assoc1114.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=7787,assoc1115.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=10714,assoc1116.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=14618,assoc1117.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=14619,assoc1118.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=14833,assoc1119.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=13479,assoc1120.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=13733,assoc1121.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=14039,assoc1122.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=4945,assoc1123.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=14036,assoc1124.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=14620,assoc1125.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=10690,assoc1126.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=13426,assoc1127.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=13696,assoc1128.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=7874,assoc1129.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=14024,assoc1130.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=13703,assoc1131.csv
